scene_id,category_band,funnel_stage,released,released_valid,handover_status_raw,degenerate_plane
scene_039,baseline,released,True,True,success|ACCEPT,False
scene_040,baseline,released,True,True,success|ACCEPT,False
scene_041,baseline,released,True,True,success|ACCEPT,False
scene_042,baseline,released,True,True,success|ACCEPT,False
scene_043,baseline,released,True,True,success|ACCEPT,False
scene_044,baseline,released,True,True,success|ACCEPT,False
scene_045,baseline,released,True,True,success|ACCEPT,False
scene_046,baseline,released,True,True,success|ACCEPT,False
scene_047,baseline,rejected,False,,success|REJECT,False
scene_048,baseline,rejected,False,,success|REJECT,False
scene_049,baseline,no_candidates,,,inferred|empty_candidates,False
scene_050,baseline,no_candidates,,,inferred|empty_candidates,False
scene_051,baseline,released,True,True,success|ACCEPT,False
scene_052,baseline,released,True,True,success|ACCEPT,False
scene_053,baseline,released,True,False,success|ACCEPT,False
scene_054,baseline,released,True,True,success|ACCEPT,False
scene_055,baseline,released,True,False,success|ACCEPT,False
scene_056,mixed,released,True,True,success|ACCEPT,False
scene_057,mixed,released,True,True,success|ACCEPT,False
scene_058,mixed,rejected,False,,success|REJECT,False
scene_059,mixed,no_candidates,,,no_target|empty_candidates,False
scene_060,mixed,released,True,False,success|ACCEPT,False
scene_061,mixed,released,True,False,success|ACCEPT,False
scene_062,mixed,released,True,True,success|ACCEPT,False
scene_063,mixed,released,True,True,success|ACCEPT,False
scene_064,mixed,released,True,True,success|ACCEPT,False
scene_065,mixed,rejected,False,,success|REJECT,False
scene_066,mixed,no_candidates,,,inferred|empty_candidates,False
scene_067,mixed,released,True,True,success|ACCEPT,False
scene_068,mixed,released,True,True,success|ACCEPT,False
scene_069,mixed,no_candidates,,,inferred|empty_candidates,False
scene_070,mixed,released,True,True,success|ACCEPT,False
scene_071,mixed,released,True,True,success|ACCEPT,False
scene_072,mixed,no_candidates,,,no_target|empty_candidates,False
scene_073,mixed,rejected,False,,success|REJECT,False
scene_074,mixed,rejected,False,,success|REJECT,False
scene_075,mixed,rejected,False,,success|REJECT,False
scene_076,mixed,rejected,False,,success|REJECT,False
scene_077,mixed,rejected,False,,success|REJECT,False
scene_078,mixed,released,True,True,success|ACCEPT,False
scene_079,mixed,released,True,True,success|ACCEPT,False
scene_080,mixed,rejected,False,,success|REJECT,False
scene_081,mixed,released,True,True,success|ACCEPT,False
scene_082,mixed,no_candidates,,,inferred|empty_candidates,False
scene_083,mixed,released,True,True,success|ACCEPT,False
scene_084,mixed,released,True,True,success|ACCEPT,False
scene_085,mixed,no_candidates,,,no_target|empty_candidates,False
scene_086,mixed,released,True,True,success|ACCEPT,False
scene_087,mixed,no_candidates,,,no_target|empty_candidates,False
scene_088,mixed,rejected,False,,success|REJECT,False
scene_089,mixed,released,True,True,success|ACCEPT,False
scene_090,mixed,rejected,False,,success|REJECT,False
scene_091,mixed,no_candidates,,,inferred|empty_candidates,False
scene_092,mixed,no_candidates,,,no_target|empty_candidates,False
scene_093,mixed,released,True,True,success|ACCEPT,False
scene_094,mixed,released,True,True,success|ACCEPT,False
scene_095,mixed,rejected,False,,success|REJECT,False
scene_096,mixed,released,True,True,success|ACCEPT,False
scene_097,mixed,released,True,True,success|ACCEPT,False
scene_098,mixed,released,True,True,success|ACCEPT,False
scene_099,mixed,no_candidates,,,inferred|empty_candidates,False
scene_100,mixed,no_candidates,,,no_target|empty_candidates,False
scene_101,mixed,rejected,False,,success|REJECT,False
scene_102,mixed,rejected,False,,success|REJECT,False
scene_103,mixed,released,True,False,success|ACCEPT,False
scene_104,mixed,released,True,True,success|ACCEPT,False
scene_105,mixed,released,True,False,success|ACCEPT,False
scene_106,mixed,rejected,False,,success|REJECT,False
scene_107,mixed,released,True,True,success|ACCEPT,False
scene_108,mixed,released,True,True,success|ACCEPT,False
scene_109,mixed,rejected,False,,success|REJECT,False
scene_110,mixed,released,True,True,success|ACCEPT,False
scene_111,mixed,released,True,True,success|ACCEPT,False
scene_112,mixed,released,True,False,success|ACCEPT,False
