check_param,tau,tau_rel,far,frr,accept_rate,accept_precision,n_rejects_by_check
depth_seam.depth_seam_span_ratio,0.31622776601683794,0.7905694150420948,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,15
depth_seam.depth_seam_span_ratio,0.3831186849557287,0.9577967123893217,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,12
depth_seam.depth_seam_span_ratio,0.4,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,12
depth_seam.depth_seam_span_ratio,0.46415888336127786,1.1603972084031946,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,9
depth_seam.depth_seam_span_ratio,0.5623413251903491,1.4058533129758726,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,8
depth_seam.depth_seam_span_ratio,0.6812920690579611,1.7032301726449028,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,6
depth_seam.depth_seam_span_ratio,0.8254041852680184,2.063510463170046,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,4
depth_seam.depth_seam_span_ratio,1.0,2.5,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,3
surface_warp.max_peak_to_valley_m,0.002,0.25,0.3942652329749104,0.2403560830860534,0.5941558441558441,0.6994535519125683,134
surface_warp.max_peak_to_valley_m,0.002519842099789746,0.31498026247371824,0.4014336917562724,0.2403560830860534,0.5974025974025974,0.6956521739130435,131
surface_warp.max_peak_to_valley_m,0.0031748021039364007,0.39685026299205006,0.40860215053763443,0.23738872403560832,0.6022727272727273,0.692722371967655,120
