scene_id,category_band,gt_instance_id,gt_class,packaging_type,visible_px,visibility_ratio,match_iou,e_lat_mm,e_top_mm_signed,ext_err_long_rel,ext_err_short_rel,ext_err_height_rel,yaw_err_deg,yaw_fold_deg,e_bottom_mm_signed,bottom_cue,bottom_confidence,is_primary_target
scene_540,edge,19,Ikea Cardboard Package,rigid,11072,1.0488911224011532,0.9129335260115607,5.583013883382141,1.3752612094316552,-0.0006433146244439517,0.0454553410553258,0.026369399701210626,3.14697265625,180,-1.5252646861195762,gradient_global,0.92,True
scene_540,edge,18,Storage_Box_with_Lid,rigid,8466,1.0879649332287815,0.8802267895109851,2.5578856347840153,1.2596954521908454,-0.022962353441663853,0.009095196292495066,-0.05122519471027409,1.5417383909225464,180,11.157571038081793,gradient_global,0.92,False
scene_541,edge,17,Куб,rigid,3036,1.1077174587862826,0.8155467720685112,3.202255602125966,4.521547255061598,-0.06793703530799416,-0.005822366729624957,1.5327641988809546,2.4046597480773926,180,-133.11327825660896,gradient_global,0.92,False
scene_542,edge,20,Colis VistaPrint,rigid,5953,0.9809082119059664,0.9163447001511843,2.102395453122626,11.682343892084667,-0.051249013605242554,0.001169457162904603,0.17966685686377237,2.5223846435546875,180,-12.491665008917519,gradient_global,0.92,False
scene_543,edge,14,Storage_Box_with_Lid,rigid,8826,1.0547954966239688,0.9053931565828235,3.7946819934333065,0.6344597990656231,-0.028602189657509165,-0.01480102665857864,-0.8533657634907235,0.2457275390625,180,165.52776540782654,lateral_neighbor,0.75,True
scene_543,edge,18,Colis VistaPrint,rigid,6911,1.0110337484427034,0.752713066126465,8.777877264633881,16.64192397326736,-0.022405635554294742,-0.12961429130294047,-0.311006829392436,3.7899246215820312,180,58.04470125943806,gradient_global,0.92,False
scene_544,edge,13,Storage_Box_with_Lid,rigid,9097,0.9864543050708943,0.6044849950533143,41.885823897694586,20.20733599017932,-0.3094295264138256,-0.05654953461163678,-0.8115988966805371,86.284982919693,180,175.72629974179011,gradient_global,0.92,True
scene_545,edge,16,Storage_Box_with_Lid,rigid,8781,1.1000084482392354,0.8784876437763353,5.047673299063167,0.04158893318839674,0.0021822458306003803,0.04992603908616843,-0.7282918998330905,3.9766452312469482,180,140.7694284611888,lateral_neighbor,0.75,True
scene_545,edge,17,China Package,rigid,7033,0.9256273388570079,0.8583819138347789,3.472664280798981,15.073796704688224,-0.18399274979415284,0.007989491397549241,-0.6267713639422322,2.186807155609131,180,252.2709429880841,gradient_global,0.92,False
scene_545,edge,15,Black Package,rigid,4341,1.0630201803701977,0.8405897258696153,3.4665593197108056,8.738823503442683,-0.02792971046250508,0.020313004991976105,-0.632457477592463,2.9865570068359375,180,106.56663197579658,gradient_global,0.92,False
