scene_id,category_band,gt_class,theta_deg,within_12deg,within_30deg,status
scene_061,mixed,Big Package cardboard,1.971601551727428e-05,True,True,evaluated
scene_062,mixed,Ikea Cardboard Package,5.723527226234808e-05,True,True,evaluated
scene_063,mixed,China Package,1.849060758003609e-05,True,True,evaluated
scene_064,mixed,POP_Drinks_Pack,0.7684505271374393,True,True,evaluated
scene_065,mixed,Asset_Large_cartoon_Box,1.3791501047802197,True,True,evaluated
scene_066,mixed,,,,,no_target
scene_067,mixed,POP_Drinks_Pack,0.47287652201268127,True,True,evaluated
scene_068,mixed,Carton Magdeleine,1.913867317021402e-05,True,True,evaluated
scene_069,mixed,,,,,no_target
scene_070,mixed,China Package,4.3127041909448916e-05,True,True,evaluated
scene_071,mixed,Gros Carton,8.154794734319746e-05,True,True,evaluated
scene_072,mixed,,,,,no_target
scene_073,mixed,Asset_Deformed_Package,12.563507029905582,False,True,evaluated
scene_074,mixed,Asset_Deformed_Package,11.621390545911062,True,True,evaluated
scene_075,mixed,Asset_Deformed_Package,12.671418995460519,False,True,evaluated
scene_076,mixed,Vintage_Envelope,7.821945912470229e-05,True,True,evaluated
scene_077,mixed,Gros Carton,0.00010205406934812713,True,True,evaluated
scene_078,mixed,Big Package cardboard,3.3163729308236565e-05,True,True,evaluated
scene_079,mixed,Storage_Box_with_Lid,4.0086939043506435e-05,True,True,evaluated
scene_080,mixed,,,,,target_unmatched
scene_081,mixed,Storage_Box_with_Lid,5.0475674993055163e-05,True,True,evaluated
scene_082,mixed,,,,,no_target
scene_083,mixed,Cardboard Box SQ01.001,0.9780952748915581,True,True,evaluated
scene_084,mixed,Carton Magdeleine,1.6249231276385124e-05,True,True,evaluated
scene_085,mixed,,,,,no_target
scene_086,mixed,Black Package,3.8281356201287136e-05,True,True,evaluated
scene_087,mixed,,,,,no_target
scene_088,mixed,POP_Drinks_Pack,0.3977755136776067,True,True,evaluated
scene_089,mixed,Asset_Large_cartoon_Box,1.0000388401946987,True,True,evaluated
scene_090,mixed,Asset_Deformed_Package,11.78611977865612,True,True,evaluated
scene_091,mixed,,,,,no_target
scene_092,mixed,,,,,no_target
scene_093,mixed,Ikea Cardboard Package,2.4711744414082342e-05,True,True,evaluated
scene_094,mixed,China Package,1.1843786336956005e-05,True,True,evaluated
